Date,Plant number,Fv/Fm
2025-06-25,50,0.775889
2025-06-25,50,0.69779
2025-06-25,52,0.783806
2025-06-25,52,0.677803
2025-06-25,55,0.78163
2025-06-25,55,0.662423
2025-06-25,59,0.508104
2025-06-25,59,0.351812
2025-06-25,60,0.541929
2025-06-25,60,0.518178
2025-06-25,61,0.677814
2025-06-25,61,0.584419
2025-06-25,62,0.477049
2025-06-25,62,0.557313
2025-06-25,63,0.647706
2025-06-25,63,0.740235
2025-06-25,65,0.478703
2025-06-25,65,0.508559
2025-06-25,65,0.540857
2025-06-25,68,0.724747
2025-06-25,68,0.775686
2025-06-25,69,0.762559
2025-06-25,69,0.748764
2025-06-25,70,0.797155
2025-06-25,71,0.784179
2025-06-25,71,0.711854
2025-06-25,72,0.610231
2025-06-25,72,0.491776
2025-06-25,72,0.560192
2025-06-25,73,0.743188
2025-06-25,73,0.650661
2025-06-25,74,0.7588
2025-06-25,74,0.645803
2025-06-25,75,0.700175
2025-06-25,75,0.56989
2025-06-25,76,0.762547
2025-06-25,76,0.761731
2025-06-25,77,0.763178
2025-06-25,77,0.620911
2025-06-25,78,0.828876
2025-06-25,78,0.626714
2025-06-25,80,0.575802
2025-06-25,80,0.521309
2025-06-25,81,0.745792
2025-06-25,81,0.696607
2025-06-25,82,0.579208
2025-06-25,82,0.504116
2025-06-25,82,0.741112
2025-06-25,83,0.750126
2025-06-25,83,0.64129
2025-06-25,88,0.30559
2025-06-25,88,0.346278
2025-06-25,89,0.721524
2025-06-25,89,0.567609
2025-06-25,90,0.675633
2025-06-25,90,0.525867
2025-06-25,91,0.51775
2025-06-25,91,0.449387
2025-06-25,92,0.585991
2025-06-25,92,0.571375
2025-06-25,94,0.673981
2025-06-25,94,0.613213
2025-06-25,95,0.668354
2025-06-25,95,0.471242
2025-06-25,96,0.778342
2025-06-25,96,0.731697
2025-06-25,96,0.722773
2025-06-25,97,0.781586
2025-06-25,97,0.667015
2025-06-25,98,0.649038
2025-06-25,98,0.673519
2025-06-25,101,0.668257
2025-06-25,101,0.469532
2025-06-25,101,0.462269
2025-06-25,102,0.622095
2025-06-25,102,0.537071
2025-07-11,3,0.735005
2025-07-11,3,0.642817
2025-07-11,3,0.672202
2025-07-11,4,0.705734
2025-07-11,4,0.602175
2025-07-11,4,0.635971
2025-07-11,8,0.730019
2025-07-11,8,0.601444
2025-07-11,8,0.59942
2025-07-11,10,0.567593
2025-07-11,10,0.370903
2025-07-11,10,0.390516
2025-07-11,10,0.458863
2025-07-11,11,0.64463
2025-07-11,11,0.583705
2025-07-11,11,0.618806
2025-07-11,12,0.765594
2025-07-11,12,0.727148
2025-07-11,12,0.624357
2025-07-11,16,0.463536
2025-07-11,16,0.604365
2025-07-11,16,0.469295
2025-07-11,16,0.546271
2025-07-11,17,0.502177
2025-07-11,17,0.49402
2025-07-11,17,0.531271
2025-07-11,20,0.718114
2025-07-11,20,0.637208
2025-07-11,20,0.666915
2025-07-11,21,0.423117
2025-07-11,21,0.364415
2025-07-11,21,0.331407
2025-07-11,22,0.666966
2025-07-11,22,0.710879
2025-07-11,22,0.67367
2025-07-11,23,0.741007
2025-07-11,23,0.650946
2025-07-11,23,0.698059
2025-07-11,24,0.67343
2025-07-11,24,0.581448
2025-07-11,24,0.600554
2025-07-11,25,0.524062
2025-07-11,25,0.525077
2025-07-11,25,0.512913
2025-07-11,26,0.617367
2025-07-11,26,0.604168
2025-07-11,26,0.529009
2025-07-11,27,0.743397
2025-07-11,27,0.664239
2025-07-11,27,0.618311
2025-07-11,28,0.614978
2025-07-11,28,0.549576
2025-07-11,28,0.541516
2025-07-11,29,0.502268
2025-07-11,29,0.661102
2025-07-11,29,0.556726
2025-07-11,30,0.752785
2025-07-11,30,0.682556
2025-07-11,30,0.675562
2025-07-11,31,0.689647
2025-07-11,31,0.687847
2025-07-11,31,0.634273
2025-07-11,33,0.548044
2025-07-11,33,0.519015
2025-07-11,33,0.499574
2025-07-11,34,0.796194
2025-07-11,34,0.741984
2025-07-11,34,0.740332
2025-07-11,35,0.717439
2025-07-11,35,0.663009
2025-07-11,35,0.595016
2025-07-11,36,0.686725
2025-07-11,36,0.610021
2025-07-11,36,0.602297
2025-07-11,37,0.275169
2025-07-11,37,0.42865
2025-07-11,37,0.320344
2025-07-11,38,0.629
2025-07-11,38,0.446925
2025-07-11,38,0.545013
2025-07-11,39,0.694682
2025-07-11,39,0.59859
2025-07-11,39,0.579032
2025-07-11,40,0.217659
2025-07-11,40,0.33603
2025-07-11,40,0.516927
2025-07-11,41,0.592218
2025-07-11,41,0.523477
2025-07-11,41,0.513173
2025-07-11,42,0.443546
2025-07-11,42,0.385917
2025-07-11,42,0.638909
2025-07-11,42,0.579479
2025-07-11,43,0.700673
2025-07-11,43,0.641883
2025-07-11,43,0.64265
2025-07-11,44,0.760745
2025-07-11,44,0.744157
2025-07-11,44,0.653246
2025-07-11,46,0.782253
2025-07-11,46,0.670431
2025-07-11,46,0.678964
2025-07-11,47,0.485111
2025-07-11,47,0.538512
2025-07-11,47,0.488355
2025-07-11,48,0.72181
2025-07-11,48,0.613706
2025-07-11,48,0.553956
2025-07-11,49,0.424858
2025-07-11,49,0.571902
2025-07-11,49,0.518808
2025-07-11,51,0.759364
2025-07-11,51,0.727018
2025-07-11,51,0.649787
2025-07-11,52,0.692919
2025-07-11,52,0.648541
2025-07-11,52,0.603803
2025-07-11,53,0.721584
2025-07-11,53,0.640129
2025-07-11,53,0.678547
2025-07-11,54,0.160753
2025-07-11,54,0.133041
2025-07-11,54,0.200102
2025-07-11,55,0.756737
2025-07-11,55,0.70144
2025-07-11,55,0.645311
2025-07-11,58,0.77696
2025-07-11,58,0.667857
2025-07-11,58,0.696745
2025-07-11,59,0.586142
2025-07-11,59,0.906664
2025-07-11,59,0.41288
2025-07-11,60,0.531728
2025-07-11,60,0.523538
2025-07-11,60,0.515057
2025-07-11,61,0.589526
2025-07-11,61,0.524344
2025-07-11,61,0.492062
2025-07-11,62,0.461749
2025-07-11,62,0.554474
2025-07-11,62,0.602265
2025-07-11,63,0.566714
2025-07-11,63,0.639183
2025-07-11,63,0.593113
2025-07-11,64,0.774855
2025-07-11,64,0.697792
2025-07-11,64,0.63509
2025-07-11,65,0.433925
2025-07-11,65,0.516682
2025-07-11,65,0.254351
2025-07-11,68,0.693267
2025-07-11,68,0.715553
2025-07-11,68,0.695483
2025-07-11,69,0.735797
2025-07-11,69,0.739632
2025-07-11,69,0.6404
2025-07-11,70,0.764364
2025-07-11,70,0.803677
2025-07-11,70,0.733089
2025-07-11,71,0.770302
2025-07-11,71,0.696036
2025-07-11,71,0.682248
2025-07-11,72,0.597161
2025-07-11,72,0.46569
2025-07-11,72,0.476067
